"symbol"	"log2fc"	"pv"	"fdr"	"dataset_id"	"dataset_annot"
"GRPEL2"	0.5900267	0.0271068	0.463	"GSE781"	"renal_cell_carcinoma"
"SNX16"	0.5892415	0.0310841	0.475	"GSE781"	"renal_cell_carcinoma"
"AGAP3"	0.5891449	0.0409279	0.493	"GSE781"	"renal_cell_carcinoma"
"TAOK1"	0.5843633	0.0084328	0.389	"GSE781"	"renal_cell_carcinoma"
"ZNF558"	0.5834977	0.0346711	0.481	"GSE781"	"renal_cell_carcinoma"
"MED30"	0.5824666	0.0337636	0.476	"GSE781"	"renal_cell_carcinoma"
"C12orf73"	0.5822584	0.0228107	0.448	"GSE781"	"renal_cell_carcinoma"
"PIK3C3"	0.5821485	0.0478394	0.506	"GSE781"	"renal_cell_carcinoma"
"DENND2D"	0.5804424	0.0430051	0.494	"GSE781"	"renal_cell_carcinoma"
"ASXL2"	0.5789057	0.0327481	0.476	"GSE781"	"renal_cell_carcinoma"
"MIF4GD"	0.5788717	0.0204625	0.44	"GSE781"	"renal_cell_carcinoma"
"RBM22"	0.5784116	0.0352231	0.481	"GSE781"	"renal_cell_carcinoma"
"YPEL3"	0.5773446	0.0305282	0.473	"GSE781"	"renal_cell_carcinoma"
"ATF7IP"	0.5772925	0.0479325	0.506	"GSE781"	"renal_cell_carcinoma"
"IRF2BP2"	0.5770863	0.0350521	0.481	"GSE781"	"renal_cell_carcinoma"
"OSTM1"	0.5744301	0.0471953	0.504	"GSE781"	"renal_cell_carcinoma"
"SMCR8"	0.5741339	0.0203069	0.438	"GSE781"	"renal_cell_carcinoma"
"SF3B1"	0.5710875	0.0298538	0.472	"GSE781"	"renal_cell_carcinoma"
"BBIP1"	0.5708692	0.033557	0.476	"GSE781"	"renal_cell_carcinoma"
"MAP3K2"	0.56988	0.0374456	0.485	"GSE781"	"renal_cell_carcinoma"
"LARS"	0.5694983	0.0236402	0.454	"GSE781"	"renal_cell_carcinoma"
"ASPH"	0.5655108	0.0328832	0.476	"GSE781"	"renal_cell_carcinoma"
"BOD1"	0.5614706	0.0369233	0.485	"GSE781"	"renal_cell_carcinoma"
"ZNF507"	0.560711	0.0416281	0.493	"GSE781"	"renal_cell_carcinoma"
"PWWP2A"	0.5602546	0.033626	0.476	"GSE781"	"renal_cell_carcinoma"
"RFX7"	0.559425	0.0334183	0.476	"GSE781"	"renal_cell_carcinoma"
"ZNF512"	0.5540268	0.0459419	0.5	"GSE781"	"renal_cell_carcinoma"
"EPC1"	0.5514136	0.0292532	0.469	"GSE781"	"renal_cell_carcinoma"
"FAM103A1"	0.5501573	0.0303982	0.472	"GSE781"	"renal_cell_carcinoma"
"CERS6"	0.5490936	0.0316388	0.475	"GSE781"	"renal_cell_carcinoma"
"PHF12"	0.5480295	0.0185862	0.438	"GSE781"	"renal_cell_carcinoma"
"SEC62"	0.5454413	0.0218142	0.446	"GSE781"	"renal_cell_carcinoma"
"CCNY"	0.5454375	0.0358229	0.482	"GSE781"	"renal_cell_carcinoma"
"FAM98C"	0.5430259	0.0161736	0.43	"GSE781"	"renal_cell_carcinoma"
"UBLCP1"	0.5420175	0.0424131	0.493	"GSE781"	"renal_cell_carcinoma"
"ZNF286B///ZNF286A"	0.540833	0.0403457	0.493	"GSE781"	"renal_cell_carcinoma"
